--- DEMARRAGE GO!EXPLORE ---
sceLocationOpen: 0x8010124F
[Frame 120] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 180] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 240] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 300] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 360] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 420] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 480] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 540] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 600] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 660] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 720] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 780] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 840] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 900] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 960] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1020] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1080] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1140] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1200] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1260] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1320] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1380] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1440] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1500] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1560] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1620] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1680] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1740] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1800] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1860] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1920] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 1980] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2040] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2100] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2160] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2220] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2280] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2340] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2400] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2460] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2520] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2580] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2640] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2700] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2760] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 2820] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
